Time     Temperature!     Force
19.733000 36.190000 36.190000 
19.854000 28.000000 28.000000 
20.194000 36.090000 36.090000 
20.314000 28.000000 28.000000 
20.633000 36.050000 36.050000 
20.754000 28.000000 28.000000 
21.092000 36.100000 36.100000 
21.213000 28.000000 28.000000 
21.552000 36.180000 36.180000 
21.672000 28.000000 28.000000 
21.994000 36.160000 36.160000 
22.115000 28.000000 28.000000 
22.455000 36.090000 36.090000 
22.576000 28.000000 28.000000 
22.915000 36.130000 36.130000 
23.036000 28.000000 28.000000 
23.355000 36.130000 36.130000 
23.475000 28.000000 28.000000 
23.814000 36.100000 36.100000 
23.934000 28.000000 28.000000 
24.275000 36.090000 36.090000 
24.395000 28.000000 28.000000 
24.717000 36.130000 36.130000 
24.837000 28.000000 28.000000 
25.178000 36.090000 36.090000 
25.299000 28.000000 28.000000 
25.620000 36.090000 36.090000 
25.727000 28.000000 28.000000 
26.092000 36.060000 36.060000 
26.212000 28.000000 28.000000 
26.532000 36.040000 36.040000 
26.652000 28.000000 28.000000 
26.994000 36.130000 36.130000 
27.114000 28.000000 28.000000 
27.453000 36.100000 36.100000 
27.573000 28.000000 28.000000 
27.891000 36.090000 36.090000 
28.011000 28.000000 28.000000 
28.350000 36.140000 36.140000 
28.471000 28.000000 28.000000 
28.810000 36.120000 36.120000 
28.931000 28.000000 28.000000 
29.271000 36.090000 36.090000 
29.391000 28.000000 28.000000 
29.712000 36.100000 36.100000 
29.832000 28.000000 28.000000 
30.169000 36.080000 36.080000 
30.289000 28.000000 28.000000 
30.629000 36.090000 36.090000 
30.749000 28.000000 28.000000 
31.069000 36.090000 36.090000 
31.190000 28.000000 28.000000 
31.529000 36.100000 36.100000 
31.650000 28.000000 28.000000 
31.989000 36.100000 36.100000 
32.110000 28.000000 28.000000 
32.430000 36.020000 36.020000 
32.552000 28.000000 28.000000 
32.892000 36.050000 36.050000 
33.012000 28.000000 28.000000 
33.354000 36.100000 36.100000 
33.476000 28.000000 28.000000 
33.795000 36.100000 36.100000 
33.916000 28.000000 28.000000 
34.258000 36.160000 36.160000 
34.379000 28.000000 28.000000 
34.699000 36.020000 36.020000 
34.821000 28.000000 28.000000 
35.160000 35.980000 35.980000 
35.280000 28.000000 28.000000 
35.619000 36.050000 36.050000 
35.739000 28.000000 28.000000 
36.060000 36.100000 36.100000 
